127.0.0.1 - - [05/Aug/2023:11:18:49 +0900] "GET / HTTP/1.1" 200 16072
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:50 +0900] "GET /resources/img/%EC%B5%9C%EC%95%A0%EC%9D%98%EC%95%84%EC%9D%B4.mp4 HTTP/1.1" 206 26489
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:50 +0900] "GET /resources/img/%EB%82%98%EB%A3%A8%ED%86%A0.mp4 HTTP/1.1" 206 319488
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:50 +0900] "GET /resources/img/%EB%82%98%EB%A3%A8%ED%86%A0.mp4 HTTP/1.1" 206 40050
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:50 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:59 +0900] "GET / HTTP/1.1" 200 16072
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:59 +0900] "GET /resources/img/%EC%B5%9C%EC%95%A0%EC%9D%98%EC%95%84%EC%9D%B4.mp4 HTTP/1.1" 206 64438272
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:59 +0900] "GET /resources/img/%EC%A3%BC%EC%88%A0%ED%9A%8C%EC%A0%84.mp4 HTTP/1.1" 206 68608000
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:59 +0900] "GET /resources/img/%ED%97%8C%ED%84%B0%ED%97%8C%ED%84%B0.mp4 HTTP/1.1" 206 67919872
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:59 +0900] "GET /resources/img/%EB%82%98%EB%A3%A8%ED%86%A0.mp4 HTTP/1.1" 206 67870720
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:59 +0900] "GET /resources/css/home.css HTTP/1.1" 200 6655
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:59 +0900] "GET /resources/css/layout.css HTTP/1.1" 200 5051
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:59 +0900] "GET /resources/js/home.js HTTP/1.1" 200 4272
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:59 +0900] "GET /resources/img/sound_on.png HTTP/1.1" 200 95057
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:59 +0900] "GET /resources/img/B66K_logo_white.png HTTP/1.1" 200 9989
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:59 +0900] "GET /resources/img/sound_off.png HTTP/1.1" 200 95204
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:59 +0900] "GET /resources/img/%EB%82%98%EC%9D%98%ED%9E%88%EC%96%B4%EB%A1%9C%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84_logo.png HTTP/1.1" 200 22044
